"url_source","url_target","page_title_target"
"None","https://en.wikipedia.org/wiki/Manchester_United_F.C.","Manchester United F.C. - Wikipedia"
"https://en.wikipedia.org/wiki/Manchester_United_F.C.","https://en.wikipedia.org/wiki/Portal:English_football","Portal:English football - Wikipedia"
"https://en.wikipedia.org/wiki/Manchester_United_F.C.","https://en.wikipedia.org/wiki/War_Damage_Commission","War Damage Commission - Wikipedia"
"https://en.wikipedia.org/wiki/Manchester_United_F.C.","https://en.wikipedia.org/wiki/Everton_F.C.","Everton F.C. - Wikipedia"
"https://en.wikipedia.org/wiki/Manchester_United_F.C.","https://en.wikipedia.org/wiki/Category:Football_clubs_in_England","Category:Football clubs in England - Wikipedia"
"https://en.wikipedia.org/wiki/Manchester_United_F.C.","https://en.wikipedia.org/wiki/Football_Focus","Football Focus - Wikipedia"
"https://en.wikipedia.org/wiki/Manchester_United_F.C.","https://en.wikipedia.org/wiki/Singapore_Exchange","Singapore Exchange - Wikipedia"
"https://en.wikipedia.org/wiki/Manchester_United_F.C.","https://en.wikipedia.org/wiki/1967_FA_Charity_Shield","1967 FA Charity Shield - Wikipedia"
"https://en.wikipedia.org/wiki/Manchester_United_F.C.","https://en.wikipedia.org/wiki/Turkish_Airlines","Turkish Airlines - Wikipedia"
"https://en.wikipedia.org/wiki/Manchester_United_F.C.","https://en.wikipedia.org/wiki/1985%E2%80%9386_European_Cup_Winners%27_Cup","1985–86 European Cup Winners' Cup - Wikipedia"
"https://en.wikipedia.org/wiki/Manchester_United_F.C.","https://en.wikipedia.org/wiki/1990%E2%80%9391_Manchester_United_F.C._season","1990–91 Manchester United F.C. season - Wikipedia"
"https://en.wikipedia.org/wiki/Manchester_United_F.C.","https://en.wikipedia.org/wiki/K.V._Mechelen","K.V. Mechelen - Wikipedia"
"https://en.wikipedia.org/wiki/Manchester_United_F.C.","https://en.wikipedia.org/wiki/GND_(identifier)","Integrated Authority File - Wikipedia"
"https://en.wikipedia.org/wiki/Manchester_United_F.C.","https://en.wikipedia.org/wiki/1886%E2%80%9387_Newton_Heath_LYR_F.C._season","1886–87 Newton Heath LYR F.C. season - Wikipedia"
"https://en.wikipedia.org/wiki/Manchester_United_F.C.","https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_winning_managers","List of European Cup and UEFA Champions League winning managers - Wikipedia"
"https://en.wikipedia.org/wiki/Manchester_United_F.C.","https://en.wikipedia.org/wiki/Huddersfield_Town_A.F.C.","Huddersfield Town A.F.C. - Wikipedia"
"https://en.wikipedia.org/wiki/Manchester_United_F.C.","https://en.wikipedia.org/wiki/1909_FA_Cup_Final","1909 FA Cup Final - Wikipedia"
"https://en.wikipedia.org/wiki/Manchester_United_F.C.","https://en.wikipedia.org/wiki/George_Best","George Best - Wikipedia"
"https://en.wikipedia.org/wiki/Manchester_United_F.C.","https://en.wikipedia.org/w/index.php?title=Manchester_United_F.C.&action=history","Manchester United F.C.: Revision history - Wikipedia"
"https://en.wikipedia.org/wiki/Manchester_United_F.C.","https://en.wikipedia.org/wiki/Anthony_Martial","Anthony Martial - Wikipedia"
"https://en.wikipedia.org/wiki/Manchester_United_F.C.","https://en.wikipedia.org/wiki/Argentine_Football_Association","Argentine Football Association - Wikipedia"
"https://en.wikipedia.org/wiki/Royal_Dutch_Football_Association","https://en.wikipedia.org/wiki/Special:BookSources/978-1-85617-544-9","Book sources - Wikipedia"
